Wall time,Step,Value
1558866515.0294538,18,0.17392273247241974
1558866610.3205154,42,0.17767266929149628
1558866618.7696407,45,0.17151962220668793
1558866666.8878267,56,0.17509253323078156
1558866723.1282961,71,0.15154770016670227
1558866738.6383395,74,0.15918052196502686
1558866817.5284793,94,0.12957051396369934
1558867055.9721625,155,0.1470961570739746
1558867070.770629,158,0.12665969133377075
1558867101.5145595,167,0.12116312235593796
1558867347.0809753,229,0.18367408215999603
1558867370.7051709,234,0.14734604954719543
1558867449.349459,255,0.15611937642097473
1558867472.7487097,260,0.12424837797880173
1558867496.8520968,267,0.1339540034532547
1558867520.4192228,273,0.13255345821380615
1558867662.6643443,308,0.1514957994222641
1558867670.441698,310,0.1144087091088295
1558867701.4297643,318,0.16483114659786224
1558867809.6994858,347,0.09884246438741684
1558867889.0344696,367,0.20215679705142975
1558868100.461059,421,0.21259915828704834
1558868108.0413818,422,0.1365659087896347
1558868184.7109227,442,0.14867664873600006
1558868253.9103425,460,0.10758033394813538
1558868261.4090629,463,0.13551004230976105
1558868268.8646502,464,0.1868131309747696
1558868307.0342014,474,0.11974409222602844
1558868550.9487443,536,0.17054155468940735
1558868661.9507585,563,0.12655845284461975
1558868725.140056,579,0.13000647723674774
1558868751.6111712,586,0.14748616516590118
1558868755.8578918,587,0.12446235120296478
1558868885.5068116,620,0.1060602217912674
1558868940.058461,634,0.1282111555337906
1558868971.6401901,642,0.13284042477607727
1558868992.412678,647,0.14243686199188232
1558869000.8963335,649,0.11971239000558853
1558869049.0181732,661,0.12134774774312973
1558869089.3638282,671,0.14076703786849976
1558869261.1687577,714,0.11514749377965927
1558869293.2275143,722,0.15573354065418243
1558869324.5341797,730,0.1018584668636322
1558869430.6937063,756,0.13903027772903442
1558869467.4769382,765,0.17055048048496246
1558869484.2150965,769,0.14015282690525055
1558869492.386266,771,0.1366170197725296
1558869548.7716959,785,0.14179420471191406
1558869557.1542902,787,0.12455614656209946
1558869582.5509462,794,0.15008893609046936
1558869614.5888917,802,0.12375964969396591
1558869637.8493636,808,0.09107140451669693
1558869643.724117,809,0.1409178227186203
1558869748.7979834,836,0.11841637641191483
1558870042.2538335,909,0.11830083280801773
1558870172.6054485,942,0.14131389558315277
1558870185.4423406,945,0.1417943835258484
1558870251.805818,962,0.08073009550571442
1558870287.3562741,971,0.1518569439649582
1558870290.3669055,972,0.1325426697731018
1558870314.5989504,978,0.1259513944387436
1558870318.903672,979,0.10821284353733063
1558870338.5287793,984,0.08058474957942963
1558870408.1694155,1002,0.14589336514472961
1558870419.2136855,1005,0.09481500834226608
1558870455.4562488,1014,0.11726988852024078
1558870647.2522817,1063,0.1367211788892746
1558870659.6833413,1066,0.12261438369750977
1558870682.918357,1072,0.1391523778438568
1558870707.0541284,1078,0.16915035247802734
1558870726.2268462,1083,0.11564437299966812
1558870765.34458,1093,0.10747356712818146
1558870788.9062161,1099,0.12155130505561829
1558870808.096703,1104,0.1222781166434288
1558871017.0447154,1156,0.12590870261192322
1558871036.180359,1161,0.15184839069843292
1558871040.2755895,1162,0.1321561336517334
1558871112.3444505,1180,0.13594362139701843
1558871161.800892,1193,0.1381748765707016
1558871215.907961,1206,0.0949811190366745
1558871362.871265,1244,0.10848023742437363
1558871427.630129,1261,0.10052533447742462
1558871505.2752414,1281,0.09585969895124435
1558871559.6667511,1294,0.09934386610984802
1558871646.078386,1316,0.11704696714878082
1558871654.442945,1319,0.12189681828022003
1558871710.8429265,1333,0.13559094071388245
1558871726.3501067,1337,0.12794417142868042
1558871917.4017406,1385,0.15621736645698547
1558871940.8738015,1391,0.09434964507818222
1558871948.1567872,1392,0.14690235257148743
1558872039.5053647,1414,0.1430782526731491
1558872088.3133585,1426,0.14232949912548065
1558872128.6429002,1436,0.10808857530355453
1558872252.3244858,1466,0.10936523973941803
1558872293.306557,1477,0.10445776581764221
1558872324.0558252,1485,0.1090865507721901
1558872348.1180499,1491,0.12287232279777527
1558872477.3150663,1523,0.1067814752459526
1558872494.0075102,1527,0.10991773754358292
1558872600.5132308,1552,0.09621550887823105
1558872664.8717546,1568,0.14824621379375458
1558872665.1402361,1569,0.14673711359500885
1558872728.6444347,1584,0.1053021177649498
1558872744.5232315,1588,0.14245426654815674
1558872811.116173,1605,0.1269749253988266
1558872955.376678,1640,0.10803905874490738
1558872992.1379201,1648,0.13380713760852814
1558873072.1151142,1668,0.15444515645503998
1558873128.315963,1682,0.133611261844635
1558873164.441322,1691,0.1531369537115097
1558873188.0847325,1697,0.09823734313249588
1558873210.7390583,1702,0.12913918495178223
1558873236.7463095,1709,0.1283433735370636
1558873275.1791892,1718,0.13413667678833008
1558873331.5942616,1732,0.15025681257247925
1558873339.65018,1734,0.16864801943302155
1558873351.037955,1737,0.15115751326084137
1558873387.3674977,1746,0.1228024810552597
1558873527.3374205,1781,0.09459245204925537
1558873624.4700518,1805,0.12039355933666229
1558873707.3309937,1826,0.08080028742551804
1558873780.7357094,1844,0.11221640557050705
1558873818.8864977,1853,0.12157252430915833
1558873871.2218893,1866,0.14729581773281097
1558873884.7430658,1869,0.17759492993354797
1558873918.7208304,1877,0.1445396989583969
1558874082.0354366,1917,0.10182551294565201
1558874147.8925385,1934,0.09731035679578781
1558874188.4942167,1944,0.12318497151136398
1558874202.0256543,1947,0.14984478056430817
1558874282.1042607,1967,0.10649491101503372
1558874347.8835347,1983,0.13231399655342102
1558874432.4455373,2001,0.20135942101478577
1558874482.984724,2013,0.10557965189218521
1558874554.7151635,2030,0.10209457576274872
1558874579.2001057,2036,0.11491797119379044
1558874709.7544773,2060,0.07305718958377838
1558874764.031748,2073,0.1149325966835022
1558874775.0954652,2076,0.08958618342876434
1558874779.8607442,2077,0.12859082221984863
1558874812.1610372,2085,0.11371765285730362
1558874828.2493284,2089,0.12808099389076233
1558874856.3219118,2096,0.109132319688797
1558875103.3930764,2145,0.10927263647317886
1558875120.3390741,2149,0.11594630032777786
1558875150.8202267,2156,0.1186649426817894
1558875189.6095433,2165,0.14771665632724762
1558875341.1464596,2187,0.08671697974205017
1558875358.1793714,2191,0.11730249971151352
1558875391.1161878,2199,0.1306794285774231
1558875422.2954955,2207,0.08646861463785172
1558875438.663622,2211,0.15628905594348907
1558875583.0909657,2231,0.09593290835618973
