Wall time,Step,Value
1558903561.770085,42,0.25764843821525574
1558903564.433955,45,0.23893485963344574
1558903586.8270702,71,0.2330254465341568
1558903606.654048,94,0.23435372114181519
1558903661.814193,158,0.2674582004547119
1558903669.5973797,167,0.2141810804605484
1558903723.0820954,229,0.20212502777576447
1558903727.436485,234,0.24856561422348022
1558903745.613041,255,0.13471387326717377
1558903761.0796387,273,0.17897920310497284
1558903791.2938032,308,0.18869879841804504
1558903793.0998282,310,0.19043214619159698
1558903799.9894028,318,0.1722249984741211
1558903889.7259462,421,0.16337935626506805
1558903923.776885,460,0.11164342612028122
1558903936.038096,474,0.17264734208583832
1558903990.3299391,536,0.13290002942085266
1558904014.3202653,563,0.101308174431324
1558904028.390606,579,0.09700985997915268
1558904034.6548538,586,0.12123650312423706
1558904077.2456212,634,0.13402916491031647
1558904088.8485918,647,0.11771349608898163
1558904101.4369285,661,0.11760983616113663
1558904110.2463534,671,0.17270949482917786
1558904148.5808713,714,0.13713830709457397
1558904155.787568,722,0.15008296072483063
1558904199.3919919,771,0.14771027863025665
1558904211.7349834,785,0.16925378143787384
1558904226.7099333,802,0.1644938439130783
1558904232.0165398,808,0.12401238083839417
1558904256.7659047,836,0.10998784750699997
1558904354.962306,945,0.13076452910900116
1558904378.2246697,971,0.13720989227294922
1558904416.322789,1014,0.13496726751327515
1558904461.9986398,1066,0.17944929003715515
1558904495.6057646,1104,0.13222093880176544
1558904562.2824564,1180,0.12492740154266357
1558904633.1998072,1261,0.11674642562866211
1558904681.432821,1316,0.1712627410888672
1558904684.0179114,1319,0.13657216727733612
1558904696.37988,1333,0.14131046831607819
1558904699.8565826,1337,0.11760776489973068
1558904742.016806,1385,0.11448176950216293
1558904748.2262003,1392,0.12186142802238464
1558904786.919726,1436,0.1250353753566742
1558904813.421856,1466,0.11927532404661179
1558904863.5219615,1523,0.11269944161176682
1558904889.1184535,1552,0.14380373060703278
1558904903.1658576,1568,0.148934468626976
1558904917.2452083,1584,0.12180589884519577
1558904966.923369,1640,0.14325779676437378
1558905012.0656164,1691,0.10788584500551224
1558905028.0887647,1709,0.13142573833465576
1558905036.0903687,1718,0.09641136229038239
1558905048.5061662,1732,0.17266641557216644
1558905050.2684546,1734,0.1434255838394165
1558905052.905401,1737,0.0890621468424797
1558905092.019054,1781,0.0918976441025734
1558905148.011287,1844,0.10946547240018845
1558905156.013885,1853,0.16043351590633392
1558905167.5260959,1866,0.13665829598903656
1558905170.1540694,1869,0.124611034989357
1558905177.2820084,1877,0.1427968591451645
1558905212.8106322,1917,0.10993239283561707
1558905227.828495,1934,0.11807563155889511
1558905239.3616557,1947,0.11700145900249481
1558905309.2255976,2001,0.12707087397575378
1558905352.8791068,2036,0.13633885979652405
1558905398.1460683,2077,0.1459684669971466
1558905417.347719,2096,0.15118065476417542
1558905503.7088714,2187,0.0944770947098732
1558905514.367369,2199,0.14485247433185577
1558905543.043681,2231,0.1110815778374672
1558905548.4582012,2237,0.1291532665491104
1558905566.227683,2257,0.09145896881818771
1558905570.5640857,2262,0.16650693118572235
1558905610.17815,2307,0.09740406274795532
1558905620.6920307,2319,0.12730656564235687
1558905651.5544987,2354,0.15133100748062134
1558905682.4209535,2389,0.10838446021080017
1558905683.2876365,2390,0.14115683734416962
1558905723.599833,2436,0.10515645146369934
1558905738.4571054,2453,0.11049524694681168
1558905740.325105,2455,0.08823241293430328
1558905744.6555252,2460,0.1251397430896759
1558905766.5110774,2485,0.1388794630765915
1558905767.3807516,2486,0.12947797775268555
1558905778.0432408,2498,0.13264644145965576
1558905782.366677,2503,0.07976178824901581
1558905807.9173515,2532,0.1293441504240036
1558905821.0372624,2547,0.10685297101736069
1558905826.382002,2553,0.1165340319275856
1558905942.7787194,2685,0.12697148323059082
1558905991.3573034,2740,0.14486658573150635
1558906034.672315,2789,0.1529974341392517
1558906129.7041783,2896,0.09778645634651184
1558906192.654918,2967,0.13886390626430511
1558906231.7603376,3011,0.13831965625286102
1558906255.8110225,3038,0.1072733923792839
1558906258.449972,3041,0.09640704095363617
1558906309.8904033,3099,0.08537638187408447
1558906365.0060105,3161,0.08473420888185501
1558906396.1078353,3196,0.11565462499856949
1558906426.3110664,3230,0.11389163881540298
