Wall time,Step,Value
1558939944.7253373,18,0.20081281661987305
1558939951.618877,42,0.16167888045310974
1558939952.7097256,45,0.17116913199424744
1558939961.0262299,71,0.18621937930583954
1558939967.2132342,94,0.1503872573375702
1558939984.8949552,158,0.12768420577049255
1558939987.7992861,167,0.12105386704206467
1558940005.44338,229,0.16198869049549103
1558940006.7980132,234,0.12067294120788574
1558940013.1610117,255,0.17310643196105957
1558940018.663805,273,0.137099489569664
1558940029.1245272,308,0.1259075403213501
1558940029.7033503,310,0.21604414284229279
1558940032.0510006,318,0.08971518278121948
1558940040.6734529,347,0.13592249155044556
1558940046.4457204,367,0.1443033665418625
1558940062.45604,421,0.09944356977939606
1558940073.5579658,460,0.1364307552576065
1558940077.6194427,474,0.13747185468673706
1558940096.7721102,536,0.15563000738620758
1558940105.3726459,563,0.12039672583341599
1558940110.4419758,579,0.13665561378002167
1558940112.4644978,586,0.16753165423870087
1558940112.9762218,587,0.09720282256603241
1558940127.3026872,634,0.19878913462162018
1558940131.5254824,647,0.11586683243513107
1558940135.8587072,661,0.13043932616710663
1558940139.05332,671,0.14815062284469604
1558940152.4274864,714,0.11470982432365417
1558940154.9662259,722,0.11243585497140884
1558940168.6755364,765,0.15276356041431427
1558940169.9521732,769,0.14735740423202515
1558940170.6028323,771,0.11238547414541245
1558940175.1957252,785,0.14165976643562317
1558940175.8178535,787,0.11850890517234802
1558940180.480684,802,0.1480553150177002
1558940182.4558702,808,0.12450315803289413
1558940191.4077451,836,0.14579755067825317
1558940226.815258,945,0.13105899095535278
1558940235.1325865,971,0.159735307097435
1558940235.1904337,972,0.11870714277029037
1558940237.164763,978,0.14904163777828217
1558940244.9786015,1002,0.14713197946548462
1558940246.1757624,1005,0.16414745151996613
1558940248.8781757,1014,0.17639823257923126
1558940265.0687773,1063,0.13348503410816193
1558940265.7606275,1066,0.11585112661123276
1558940274.7961464,1093,0.13447017967700958
1558940276.7983987,1099,0.1249338909983635
1558940278.1684706,1104,0.14701369404792786
1558940295.588186,1156,0.09736501425504684
1558940297.4307084,1161,0.13528470695018768
1558940297.4735928,1162,0.15943774580955505
1558940303.444124,1180,0.13852865993976593
1558940307.996233,1193,0.11535698920488358
1558940324.865665,1244,0.1379844695329666
1558940330.7356584,1261,0.1538206934928894
1558940348.7265542,1316,0.14888927340507507
1558940350.0568566,1319,0.15310154855251312
1558940354.9426992,1333,0.13355280458927155
1558940356.3192914,1337,0.12101775407791138
